BD_age_1C_250828,CF,grainsize_age_250828,D50,SF_age_250828,Sandflux,bulkgeo_age_250828,c13,XRF_age_250828,SiTi
,,,,,,,,7825,3.563974267
,,,,,,,,7848.5,4.913364055
,,,,,,,,7872,5.549972988
,,,,,,,,7896,5.210151585
,,,,,,,,7920,5.407063618
,,,,,,,,7943.5,5.135225376
,,,,,,,,7967,5.470312833
,,,,,,,,7991,5.026427772
,,,,,,,,8015,5.211606956
,,,,,,,,8039.5,5.525924256
,,,,,,,,8064,5.514709135
,,,,,,,,8088,5.12602459
,,,,,,,,8112,5.511669659
,,,,,,,,8136.5,5.329404336
,,,,,,,,8161,4.619669118
,,,,,,,,8185.5,4.322429093
,,,,,,,,8210,5.722209383
,,,,,,,,8234.5,4.997077163
,,,,,,,,8259,4.155697694
,,,,,,,,8283.5,4.229656112
,,,,,,,,8308,4.323262312
,,,,,,,,8332.5,6.391608392
,,,,,,,,8357,5.844819392
,,,,,,,,8382,4.914183764
,,,,,,,,8407,4.166640783
,,,,,,,,8431.5,4.034220532
,,,,,,,,8456,3.956124314
,,,,,,,,8480.5,4.18065905
,,,,,,,,8505,3.945923734
,,,,,,,,8530,5.996507254
,,,,,,,,8555,6.173245614
,,,,,,,,8579.5,5.953976988
,,,,,,,,8604,4.565828647
,,,,,,,,8628.5,4.766666667
,,,,,,,,8653,5.691720629
,,,,,,,,8677.5,5.568627451
,,,,,,,,8702,6.033423446
,,,,,,,,8726.5,5.454036398
,,,,,,,,8751,4.197689584
,,,,,,,,8775.5,6.039676325
,,,,,,,,8800,5.807672764
,,,,,,,,8824.5,6.936751612
,,,,,,,,8849,8.21141649
,,,,,,,,8873.5,7.208105778
,,,,,,,,8898,7.624655858
,,,,,,,,8922.5,7.035989011
,,,,,,,,8947,7.07994429
,,,,,,,,8971.5,7.023823192
,,,,,,,,8996,6.85138539
,,,,,,,,9020.5,7.608169935
,,,,,,,,9045,6.764002175
,,,,,,,,9069,6.038669065
,,,,,,,,9093,7.181864235
,,,,,,,,9117.5,7.28344455
,,,,,,,,9142,5.348144276
,,,,,,,,9166,4.355722833
,,,,,,,,9190,6.325160212
,,,,,,,,9214.5,7.156279361
,,,,,,,,9239,8.312276945
,,,,,,,,9263,6.130565584
,,,,,,,,9287,6.935073202
,,,,,,,,9311,6.915147894
,,,,,,,,9335,5.928422516
,,,,,,,,9359,5.560171045
,,,,,,,,9383,8.01795977
,,,,,,,,9407,5.354357798
,,,,,,,,9431,6.768432857
,,,,,,,,9455,5.279113626
,,,,,,,,9479,5.471111111
,,,,,,,,9503,7.037806638
,,,,,,,,9527,6.309845323
,,,,,,,,9550.5,5.601062601
,,,,,,,,9574,8.169766655
,,,,,,,,9598,8.24702381
,,,,,,,,9622,7.818240206
,,,,,,,,9645.5,8.32358871
,,,,,,,,9669,8.611398964
,,,,,,,,9692.5,7.663593005
,,,,,,,,9716,8.206650831
,,,,,,,,9739.5,9.197678772
,,,,,,,,9763,9.375426621
,,,,,,,,9786.5,8.289661596
,,,,,,,,9810,9.266114512
,,,,,,,,9833.5,8.045650833
,,,,,,,,9857,8.234293194
,,,,,,,,9880.5,8.766572638
,,,,,,,,9904,7.330218069
,,,,,,,,9927.5,8.017643352
,,,,,,,,9951,7.573957396
,,,,,,,,9974.5,5.674802584
,,,,,,,,9998,8.055537924
,,,,,,,,10021.5,9.30017331
,,,,,,,,10045,7.774813896
,,,,,,,,10068.5,7.713383838
,,,,,,,,10092,8.195973154
,,,,,,,,10115.5,9.005623902
,,,,,,,,10139,9.669059584
,,,,,,,,10162.5,10.86766542
,,,,,,,,10186,8.367839196
,,,,,,,,10210,8.185515519
,,,,,,,,10234,8.765242789
,,,,,,,,10258,7.992149533
,,,,,,,,10282,7.941401762
,,,,,,,,10306,9.523364486
,,,,,,,,10330,7.671675923
,,,,,,,,10354,6.723979298
,,,,,,,,10378,9.142124542
,,,,,,,,10402,8.364288042
,,,,,,,,10426,8.401735896
,,,,,,,,10450.5,8.922633186
,,,,,,,,10475,8.581541515
,,,,,,,,10499.5,9.746415094
,,,,,,,,10524,9.446601942
,,,,,,,,10549,8.626157836
,,,,,,,,10574,7.693300768
,,,,,,,,10598.5,7.064685315
,,,,,,,,10623,7.806348074
,,,,,,,,10647.5,7.682289666
,,,,,,,,10672,8.444937475
,,,,,,,,10696.5,7.964818763
,,,,,,,,10721,8.951174743
,,,,,,,,10746,7.589766879
,,,,,,,,10771,8.197331679
,,,,,,,,10795.5,8.315185307
,,,,,,,,10820,9.388764881
,,,,,,,,10844,8.957952468
,,,,,,,,10868,8.014175258
,,,,,,,,10892.5,8.263140047
,,,,,,,,10917,7.732191781
,,,,,,,,10940.5,8.39957492
,,,,,,,,10964,6.938811189
,,,,,,,,10988,7.235334243
,,,,,,,,11012,7.995409015
,,,,,,,,11035.5,7.864229025
,,,,,,,,11059,6.879808968
,,,,,,,,11082,6.468273092
,,,,,,,,11105,5.817740512
,,,,,,,,11127.5,6.561718197
,,,,,,,,11150,6.879078695
,,,,,,,,11172.5,8.443659711
,,,,,,,,11195,6.573441605
,,,,,,,,11217,7.329988852
,,,,,,,,11239,8.584151932
,,,,,,,,11261,8.049969898
